"code","buy","overweight","hold","underweight","sell","high","median","low","avearge","current","sys_load_time"
"PDL","","","","","","","","","","","2020-08-03 16:47:31.667514+10"
"AX1","","","","","","","","","","","2020-08-03 16:40:50.701474+10"
"ABP","","","","","","","","","","","2020-08-03 16:40:51.851284+10"
"AMA","","","","","","","","","","","2020-08-03 16:40:53.460538+10"
"ALL","13","0","0","0","0","$36.10","$29.80","$28.00","$30.47","$25.80","2020-08-03 16:40:55.054019+10"
"ASX","0","0","0","1","8","$86.67","$73.00","$65.00","$73.67","$83.48","2020-08-03 16:40:55.50485+10"
"AYS","","","","","","","","","","","2020-08-03 16:40:55.65026+10"
"ALX","2","0","5","0","0","$7.20","$6.88","$6.35","$6.84","$6.69","2020-08-03 16:40:57.351104+10"
"AIA","2","0","4","0","2","$7.00","$6.45","$5.70","$6.34","$5.82","2020-08-03 16:40:58.007169+10"
"APE","","","","","","","","","","","2020-08-03 16:40:59.516889+10"
"AD8","4","0","2","0","0","$7.50","$6.13","$4.56","$6.18","$5.15","2020-08-03 16:40:59.790154+10"
"AMI","2","1","0","0","0","$0.75","$0.70","$0.55","$0.67","$0.56","2020-08-03 16:41:00.09905+10"
"AST","2","0","5","0","4","$2.11","$1.88","$1.57","$1.88","$1.79","2020-08-03 16:41:02.108996+10"
"ADI","","","","","","","","","","","2020-08-03 16:41:02.41632+10"
"ASB","5","0","0","0","1","$28.64","$27.27","$18.96","$25.83","$3.25","2020-08-03 16:41:04.48215+10"
"AAC","1","0","0","0","0","$1.40","$1.40","$1.40","$1.40","$1.02","2020-08-03 16:41:04.732618+10"
"ALG","","","","","","","","","","","2020-08-03 16:41:05.807167+10"
"ARF","","","","","","","","","","","2020-08-03 16:41:07.260871+10"
"AZJ","7","1","2","0","0","$5.74","$5.58","$5.19","$5.50","$4.46","2020-08-03 16:41:16.690911+10"
"BEN","1","0","7","2","3","$8.10","$7.00","$4.24","$6.88","$6.56","2020-08-03 16:41:27.138818+10"
"ALU","2","0","6","1","1","$28.69","$24.08","$20.34","$24.12","$33.10","2020-08-03 16:40:06.729013+10"
"AUB","","","","","","","","","","","2020-08-03 16:41:28.141944+10"
"BHP","9","0","5","1","0","$59.70","$55.08","$38.38","$54.10","$37.34","2020-08-03 16:41:29.319646+10"
"BKL","0","0","0","0","0"," "," "," "," ","$70.59","2020-08-03 16:41:30.756834+10"
"API","","","","","","","","","","","2020-08-03 16:41:36.701216+10"
"BXB","7","0","4","0","0","$9.74","$7.96","$6.57","$8.35","$10.93","2020-08-03 16:41:38.870568+10"
"BRG","5","0","4","1","0","$28.00","$20.00","$14.90","$21.19","$25.63","2020-08-03 16:41:39.61142+10"
"BBN","","","","","","","","","","","2020-08-03 16:41:40.682397+10"
"BKW","3","2","1","0","0","$19.00","$17.86","$13.56","$17.35","$16.34","2020-08-03 16:41:41.037217+10"
"AVN","","","","","","","","","","","2020-08-03 16:41:43.068517+10"
"BWX","2","1","3","0","0","$5.20","$4.15","$3.29","$4.18","$3.92","2020-08-03 16:41:43.263754+10"
"BAP","","","","","","","","","","","2020-08-03 16:41:44.804974+10"
"CVN","3","0","1","0","0","$0.40","$0.35","$0.30","$0.35","$0.18","2020-08-03 16:41:45.622659+10"
"BIN","","","","","","","","","","","2020-08-03 16:41:55.865317+10"
"CGF","1","1","9","0","1","$7.50","$5.13","$3.70","$5.11","$4.35","2020-08-03 16:42:00.981707+10"
"CIA","4","0","0","0","0","$4.18","$3.55","$3.00","$3.57","$2.81","2020-08-03 16:42:03.110031+10"
"BVS","","","","","","","","","","","2020-08-03 16:42:03.902743+10"
"CHC","7","0","0","0","1","$12.54","$11.30","$6.42","$10.57","$10.53","2020-08-03 16:42:05.387623+10"
"BUB","","","","","","","","","","","2020-08-03 16:42:08.152507+10"
"CQE","5","0","0","0","0","$3.20","$2.98","$2.79","$2.99","$2.34","2020-08-03 16:42:12.666993+10"
"BWP","","","","","","","","","","","2020-08-03 16:42:13.620541+10"
