"code","market_open","market_day_high","market_previous_close","market_day_low","market_price","market_volume","current_price","target_low_price","target_median_price","number_of_analyst","target_mean_price","target_high_price","recommendation_mean","regular_market_open","regular_market_day_high","regular_market_previous_close","regular_market_day_low","tailing_pe","regualr_market_volume","average_volume","ask","ask_size","forward_pe","bid","bid_size","enterprise_revenue","profit_margins","enterprise_ebitda","book_value","tailing_eps","price_to_book","beta","quarterly_earning_growth","sys_load_time"
"IRI.AX","4.09","4.16","4.07","4.02","4.16","493658","4.16","2.2","2.6","2","2.6","3","","4.09","4.16","4.07","4.02","32.499996","493658","295668","4.16","0","32","4.11","0","6.674","0.21181999","23.136","0.441","0.128","9.433105","0.693023","0.009","2020-08-03 16:46:47.448106+10"
"ABP.AX","2.65","2.67","2.69","2.61","2.63","661728","2.63","3.3","3.65","3","3.58","3.8","","2.65","2.67","2.69","2.61","10.193799","661728","1338871","2.63","0","9.740741","2.9","0","6.924","0.49473998","12.036","3.457","0.258","0.76077527","0.795348","-0.358","2020-08-03 16:45:04.474557+10"
"AX1.AX","1.36","1.38","1.39","1.27","1.28","2396386","1.28","1.46","1.65","3","1.62","1.75","","1.36","1.38","1.39","1.27","13.061225","2396386","2954123","1.3","0","","1.28","0","1.358","0.065","9.778","0.761","0.098","1.6819974","1.292441","0.044","2020-08-03 16:45:05.593351+10"
"ABC.AX","2.18","2.3","2.21","2.18","2.21","2614374","2.21","4.2","5","9","5","5.8","","2.18","2.3","2.21","2.18","30.694447","2614374","3651430","2.25","0","6.9062505","2.23","0","1.288","0.03118","9.657","1.833","0.072","1.2056738","1.186046","-0.353","2020-08-03 16:45:06.553837+10"
"APT.AX","68.5","68.72","68.54","65.53","66.5","2088445","66.5","15.64","19.15","5","20.51","26.15","","68.5","68.72","68.54","65.53","","2088445","3290580","62.55","0","","66.41","0","55.767","-0.15965","-706.636","3.31","-0.205","20.090635","3.089669","","2020-08-03 16:45:07.527112+10"
"AGL.AX","16.57","16.8","16.62","16.5","16.68","1512999","16.68","16.89","20.27","11","20.75","26.4","","16.57","16.8","16.62","16.5","11.6318","1512999","2009939","14.99","","","17.6","","1.021","0.07095","6.617","12.551","1.434","1.3289778","0.365116","0.114","2020-08-03 16:45:08.279394+10"
"AQG.AX","10.77","11","10.46","10.53","10.9","604478","10.9","1.59","2.78","5","2.55","3.57","","10.77","11","10.46","10.53","20.185184","604478","470648","10.36","0","90.833336","11.45","0","6.443","0.29977","11.999","3.09","0.54","3.527508","1.51124","13.57","2020-08-03 16:45:08.906279+10"
"ALQ.AX","8.41","8.56","8.49","8.31","8.45","1096764","8.45","6.85","8.44","10","8.29","9","","8.41","8.56","8.49","8.31","32.129276","1096764","1923747","7.81","0","20.609756","8.9","0","2.799","0.069759995","13.47","2.281","0.263","3.7045157","1.223837","","2020-08-03 16:45:09.985802+10"
"ALU.AX","32.66","33.28","32.85","32.535","33.1","442369","33.1","12.51","17.59","7","17.37","20.14","","32.66","33.28","32.85","32.535","82.74999","442369","702769","33.1","0","127.30769","35.18","0","22.689","0.28162","59.499","1.472","0.4","22.486412","0.665697","-0.015","2020-08-03 16:45:10.81288+10"
"AWC.AX","1.515","1.535","1.52","1.505","1.53","11703544","1.53","1.91","1.97","8","2.09","2.7","","1.515","1.535","1.52","1.505","20.675674","11703544","23094954","1.53","0","8.499999","1.525","0","1772.6","85.6","","0.619","0.074","2.4717286","0.865116","-0.991","2020-08-03 16:45:11.800195+10"
"AMA.AX","0.515","0.52","0.52","0.49","0.49","3539404","0.49","","","","","","","0.515","0.52","0.52","0.49","","3539404","6372420","0.495","0","8.166667","0.49","0","1.477","0.000010000001","27.121","0.52","0","0.9423078","1.844767","","2020-08-03 16:45:12.800429+10"
"AYS.AX","0.63","0.635","0.635","0.615","0.615","222964","0.615","1.1","1.15","2","1.15","1.21","","0.63","0.635","0.635","0.615","61.500004","222964","624796","0.57","0","3.6176472","0.615","0","0.447","0.00607","7.577","0.376","0.01","1.6356384","0.52553","","2020-08-03 16:45:13.698503+10"
"AMC.AX","14.3","14.56","14.41","14.24","14.49","2553781","14.49","9.4","10.74","9","10.71","11.76","","14.3","14.56","14.41","14.24","43.25373","2553781","3854196","13.56","0","20.7","15.4","0","2.454","0.043070003","17.435","3.013","0.335","4.80916","0.486627","0.612","2020-08-03 16:45:14.271022+10"
"AMP.AX","1.445","1.47","1.465","1.39","1.465","53538761","1.465","1.91","2.67","10","2.6","3.4","","1.445","1.47","1.465","1.39","","53538761","13825596","1.35","0","5.4259257","1.465","0","-3.761","-0.103999995","-67.584","1.426","-0.795","1.0273492","1.118604","","2020-08-03 16:45:15.080931+10"
"ANN.AX","38.36","39.21","38.45","38.23","39.04","285328","39.04","16.6","19.22","9","19.3","25.16","","38.36","39.21","38.45","38.23","37.939747","285328","609748","39.07","0","34.54867","39.09","0","3.444","0.09037","21.792","10.555","1.029","3.698721","0.969186","0.666","2020-08-03 16:45:15.90563+10"
"APE.AX","8.07","8.18","8.11","7.56","7.56","1229812","7.56","6.53","7.75","5","7.49","7.94","","8.07","8.18","8.11","7.56","","1229812","1208133","7.6","0","13.745454","7.58","0","0.83","-0.02243","21.477","3.235","-0.624","2.3369398","1.588953","","2020-08-03 16:45:16.930767+10"
"APA.AX","10.95","11.23","11","10.9","11.19","1972215","11.19","7.65","8.84","10","8.91","10","","10.95","11.23","11","10.9","43.20463","1972215","2059052","11.19","0","37.299995","11.98","0","9.102","0.12087","14.169","2.944","0.259","3.800951","0.411046","0.112","2020-08-03 16:45:17.839851+10"
"ADI.AX","2.47","2.47","2.46","2.4","2.44","128809","2.44","","","","","","","2.47","2.47","2.46","2.4","9.348659","128809","258122","2.45","0","","2.56","0","16.582","0.84357","","2.082","0.261","1.1719501","0.565116","2.097","2020-08-03 16:45:18.411895+10"
"APX.AX","35.66","37.04","35.65","35.6","36.78","487936","36.78","10.3","15.88","6","14.89","17.31","","35.66","37.04","35.65","35.6","106.300575","487936","821054","36.81","0","245.19998","36.86","0","7.964","0.0777","50.932","3.978","0.346","9.245852","1.131395","-0.169","2020-08-03 16:45:19.963702+10"
"ARB.AX","18.89","19.76","19.2","18.84","19.59","262505","19.59","17","19.29","6","19.37","22","","18.89","19.76","19.2","18.84","28.30925","262505","186053","19.68","0","26.12","20.76","0","3.419","0.1195","18.291","4.454","0.692","4.3982935","0.668023","-0.074","2020-08-03 16:45:20.696631+10"
"ALG.AX","0.33","0.335","0.33","0.3","0.3","4860015","0.3","2.15","2.15","1","2.15","2.15","","0.33","0.335","0.33","0.3","","4860015","5940887","0.305","0","","0.305","0","1.252","-0.1176","10.226","0.754","-0.128","0.397878","2.44186","","2020-08-03 16:45:21.617005+10"
"ARF.AX","2.16","2.22","2.25","2.14","2.15","170254","2.15","2.31","2.51","4","2.47","2.55","","2.16","2.22","2.25","2.14","9.2274685","170254","745612","2.17","0","16.538464","2.15","0","16.395","1.1221299","","1.823","0.233","1.1793747","1.179651","0.236","2020-08-03 16:45:22.287352+10"
"ALL.AX","25.8","25.98","26.18","25.44","25.8","1259125","25.8","29","30.71","10","32.05","37.85","","25.8","25.98","26.18","25.44","9.930716","1259125","2830214","25.86","0","16.226414","25.84","0","4.266","0.36488","14.267","5.499","2.598","4.691762","1.016279","2.772","2020-08-03 16:45:22.952429+10"
"AHY.AX","0.945","0.975","0.95","0.935","0.955","124952","0.955","0.95","1.05","3","1.05","1.15","","0.945","0.975","0.95","0.935","23.875","124952","429307","0.88","0","7.346154","0.935","0","1.615","0.05249","9.732","0.335","0.04","2.8507462","-0.324418","","2020-08-03 16:45:24.10836+10"
"ASX.AX","82.5","83.93","82.65","82.21","83.48","305933","83.48","48.1","58","11","56.85","63","","82.5","83.93","82.65","82.21","32.57121","305933","461342","76.05","0","32.231663","90.71","0","13.612","0.45353","17.903","19.092","2.563","4.3725123","0.427906","0.017","2020-08-03 16:45:24.671484+10"
"ALX.AX","6.53","6.73","6.6","6.53","6.69","2202787","6.69","6.76","7.01","7","7.12","7.5","","6.53","6.73","6.6","6.53","278.75","2202787","3400040","6.27","0","17.605263","6.66","0","37.459","0.0975","-270.239","3.871","0.024","1.7282356","0.697093","-0.006","2020-08-03 16:45:25.520867+10"
"AUB.AX","13.04","13.26","13.04","12.77","13.16","145270","13.16","13.72","14.5","5","14.65","16.4","","13.04","13.26","13.04","12.77","21.46819","145270","241884","13.11","0","19.072464","13.89","0","3.689","0.15182","21.279","5.599","0.613","2.3504198","0.607558","-0.163","2020-08-03 16:45:26.12247+10"
"AIA.AX","5.8","5.94","5.83","5.73","5.82","540560","5.82","6.94","6.94","1","6.94","6.94","","5.8","5.94","5.83","5.73","15.645162","540560","744764","5.51","0","29.1","5.82","0","","0.70877","","3.236","0.372","1.7985168","1.063953","0","2020-08-03 16:45:27.167197+10"
"AD8.AX","5.22","5.27","5.25","5.1","5.15","459727","5.15","4","4.6","2","4.6","5.2","","5.22","5.27","5.25","5.1","2575","459727","423514","4.89","0","","5.48","0","10.706","0.00521","333.836","0.679","0.002","7.5846834","1.782905","-0.596","2020-08-03 16:45:27.760804+10"
"AMI.AX","0.555","0.565","0.545","0.537","0.555","4020543","0.555","0.9","0.9","2","0.9","0.9","","0.555","0.565","0.545","0.537","19.821428","4020543","7398786","0.535","0","5.0454545","0.585","0","1.45","0.08554","5.004","0.252","0.028","2.202381","2.558139","-0.409","2020-08-03 16:45:28.409583+10"
"AZJ.AX","4.42","4.52","4.45","4.42","4.46","5968263","4.46","3.8","4.34","11","4.32","4.87","","4.42","4.52","4.45","4.42","14.671053","5968263","6897251","4.47","0","20.272728","4.81","0","4.035","0.20194","8.161","2.336","0.304","1.9092466","0.521511","0.565","2020-08-03 16:45:29.197195+10"
"AST.AX","1.765","1.8","1.78","1.76","1.785","5851045","1.785","1.5","1.7","10","1.66","1.75","","1.765","1.8","1.78","1.76","22.594934","5851045","9192440","1.665","0","25.5","1.79","0","8.282","0.147","14.174","0.807","0.079","2.211896","0.202325","0.642","2020-08-03 16:45:29.810481+10"
